URL,city,service,currentIndexState,reasonNoindex,group,contentChanges,internalLinks,frequency,cannibalization,risk
https://master-na-dom.online/dezinfekciya-lipetsk,Липецк,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-lipetsk,Липецк,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-lipetsk,Липецк,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/dezinfekciya-tver,Тверь,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-tver,Тверь,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-tver,Тверь,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/dezinfekciya-moskva,Москва,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-moskva,Москва,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-moskva,Москва,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/dezinfekciya-ryazan,Рязань,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-ryazan,Рязань,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-ryazan,Рязань,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/dezinfekciya-vladimir,Владимир,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-vladimir,Владимир,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-vladimir,Владимир,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/dezinfekciya-kaluga,Калуга,Дезинфекция,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/klining-kaluga,Калуга,Клининг,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
https://master-na-dom.online/sborka-mebeli-kaluga,Калуга,Сборка мебели,noindex,NO_UNIQUE_TEXT (0 AI paragraphs in ai-content.db),EXPERIMENTAL,"PENDING: needs >=4 unique AI paragraphs via scripts/generate-ai-content.mjs (not run yet - requires non-RU IP + OpenRouter key, see docs)",157,"not tracked (page currently unindexed, no SERP position data)","not checked individually - same pattern as Wave1 check (differentiated by city+service, no known competing URL)","low - major city, plausible real demand, technically complete except unique text"
